name,morningstar_category,risk,std_dev,sharpe_ratio_3_yr,beta,r2
USAA Growth and Tax Strategy Fund (USBLX),Allocation--30% to 50% Equity,4,9.39,1.25,0.48,0.90
Virtus AllianzGI Global Allocation Fund Class A (PALAX),World Allocation,5,11.63,1.01,0.64,0.94
American Century Value Fund I Class (AVLIX),Large Value,6,22.10,0.53,1.09,0.97
American Funds Developing World Growth and Income Fund Class A (DWGAX),Diversified Emerging Mkts,8,18.82,0.62,0.98,0.94
Commonwealth Global Fund (CNGLX),World Large-Stock Blend,6,16.73,0.70,0.91,0.94
Goldman Sachs Equity Income Fund Class A (GSGRX),Large Value,6,16.90,0.69,0.83,0.97
Lazard Emerging Markets Equity Advantage Portfolio Institutional Shares (LEAIX),Diversified Emerging Mkts,8,18.53,0.63,0.98,0.96
Madison Covered Call & Equity Income Fund Class Y (MENYX),Derivative Income,6,15.63,0.75,0.75,0.78
Wells Fargo Asset Allocation Fund - Class C (EACFX),Allocation--50% to 70% Equity,5,12.81,0.91,,
Crawford Small Cap Dividend Fund (CDOFX),Small Blend,7,21.47,0.54,0.83,0.91
Hartford Growth Allocation Fund Class C (HRACX),Allocation--70% to 85% Equity,5,15.30,0.76,,
Janus Henderson Emerging Markets Fund Class T (HEMTX),Diversified Emerging Mkts,8,19.81,0.59,1.02,0.91
Victory RS International Fund Class Y (RSIGX),Foreign Large Blend,6,16.86,0.69,0.98,0.98
BNY Mellon Emerging Markets Fund Class Investor (MIEGX),Diversified Emerging Mkts,8,19.53,0.60,1.03,0.96
PGIM Jennison Utility Fund- Class C (PCUFX),Utilities,5,15.22,0.77,0.89,0.91
Praxis Genesis Balanced Portfolio Class A (MBAPX),Allocation--50% to 70% Equity,5,11.06,1.05,1.02,0.99
USAA Global Equity Income Fund Fund Shares (UGEIX),World Large-Stock Value,6,16.49,0.71,1.02,0.95
BrandywineGLOBAL - Diversified US Large Cap Value Fund Class A (LBWAX),Large Value,6,20.36,0.57,1.01,0.98
JHancock Infrastructure Fund Class A (JEEBX),Infrastructure,7,13.32,0.88,0.66,0.77
John Hancock Funds II Equity Income Fund Class A (JHEIX),Large Value,6,20.92,0.56,1.04,0.98
PGIM Jennison Natural Resources Fund - Class A (PGNAX),Natural Resources,8,33.54,0.35,1.56,0.74
BNY Mellon Global Real Estate Securities - Class A (DRLAX),Global Real Estate,7,18.86,0.62,0.93,0.99
Crossmark Steward Global Equity Income Fund Class C (SGIFX),World Large-Stock Value,6,17.18,0.68,0.94,0.92
DCM/INNOVA High Equity Income Innovation Fund (TILDX),Large Blend,6,17.99,0.65,0.92,0.90
Lord Abbett Mid Cap Stock Fund Class A (LAVLX),Mid-Cap Value,6,23.07,0.50,0.99,0.98
Transamerica Multi-Asset Income Fund Class C (TCSHX),Allocation--30% to 50% Equity,4,13.18,0.88,0.68,0.89
Vanguard International Explorer Fund Investor Shares (VINEX),Foreign Small/Mid Growth,7,20.76,0.56,1.02,0.97
Victory Integrity Small-Cap Value Fund Class Y (VSVIX),Small Value,7,30.25,0.39,1.13,0.98
Great Lakes Large Cap Value Fund Institutional Class Shares (GLLIX),Large Value,6,21.20,0.55,1.04,0.96
MFS Blended Research Value Equity Fund Class A (BRUDX),Large Value,6,20.56,0.57,1.03,0.99
Ave Maria World Equity Fund (AVEWX),World Large-Stock Blend,6,20.37,0.57,1.13,0.93
JPMorgan Europe Dynamic Fund Class A (VEUAX),Europe Stock,7,21.24,0.55,1.10,0.95
JPMorgan Mid Cap Value Fund Class C (JCMVX),Mid-Cap Value,6,22.83,0.51,0.99,0.99
Nuveen International Growth Fund Class C (NBQCX),Foreign Large Growth,7,18.04,0.64,0.97,0.83
Putnam Focused International Equity Fund Class C (PUGCX),Foreign Large Blend,6,18.43,0.63,1.03,0.89
Victory RS Investors Fund Class Y (RSIYX),Mid-Cap Blend,6,21.46,0.54,1.03,0.95
Voya Small Company Fund Class A (VYSYX),Small Blend,7,25.07,0.46,1.00,0.97
Westwood Quality SmallCap Fund Institutional Class (WHGSX),Small Blend,7,24.57,0.47,0.91,0.96
Ariel Focus Fund Investor Class (ARFFX),Mid-Cap Value,6,25.66,0.45,1.25,0.95
Catalyst Dynamic Alpha Fund Class I (CPEIX),Large Growth,6,18.73,0.62,0.93,0.84
Hartford MidCap Value Fund Class C (HMVCX),Mid-Cap Value,6,23.23,0.50,0.99,0.97
PIMCO RAE PLUS EMG Fund Class A (PEFFX),Diversified Emerging Mkts,8,24.11,0.48,,
T. Rowe Price Target 2025 Fund (TRRVX),Target-Date 2025,5,10.65,1.09,0.99,0.98
BlackRock Advantage Large Cap Value Fund Investor C Shares (MCLVX),Large Value,6,19.64,0.59,0.98,0.99
Hotchkis & Wiley Small Cap Value Fund Class A (HWSAX),Small Value,7,31.63,0.37,1.18,0.97
JPMorgan SmartRetirement® 2030 Fund Class I (JSMSX),Target-Date 2030,6,12.46,0.93,0.99,0.99
AB Select US Long/Short Portfolio Class A (ASLAX),Long-Short Equity,4,9.94,1.17,0.53,0.95
Eaton Vance Global Income Builder Fund Class C (EDICX),World Allocation,5,14.84,0.78,0.81,0.95
ICON Utilities and Income Fund Investor Class (ICTVX),Utilities,5,16.21,0.72,0.94,0.85
Goldman Sachs Small Cap Equity Insights Fund Class C (GCSCX),Small Blend,7,24.17,0.48,0.96,0.97
Schwab Small-Cap Equity Fund™ (SWSCX),Small Blend,7,25.47,0.46,1.01,0.97
Delaware International Small Cap Fund Class C (DGGCX),Foreign Small/Mid Growth,7,19.25,0.60,0.92,0.92
JPMorgan Value Advantage Fund Class C (JVACX),Large Value,6,21.75,0.53,1.06,0.99
American Century Mid Cap Value Fund A Class (ACLAX),Mid-Cap Value,6,20.38,0.57,0.87,0.97
Franklin LifeSmart™ 2035 Retirement Target Fund Class C (FTRCX),Target-Date 2035,6,13.60,0.85,0.77,0.99
Janus Henderson Emerging Markets Fund Class A (HEMAX),Diversified Emerging Mkts,8,19.80,0.58,1.02,0.91
Victory Sophus Emerging Markets Fund Class A (GBEMX),Diversified Emerging Mkts,8,19.96,0.58,1.05,0.96
Invesco Real Estate Fund Class A (IARAX),Real Estate,8,18.51,0.62,0.81,0.65
Victory Strategic Allocation Fund Class A (SBALX),World Allocation,5,12.04,0.96,0.67,0.96
Brown Advisory Emerging Markets Select Fund Advisor Shares (BAQAX),Diversified Emerging Mkts,8,18.75,0.62,,
Cullen Value Fund Retail Class (CVLEX),Large Value,6,18.29,0.63,0.94,0.90
EuroPac International Value Fund Class A (EPIVX),Foreign Large Value,6,18.82,0.61,0.73,0.57
Harding Loevner Institutional Emerging Markets Portfolio Class I (HLMEX),Diversified Emerging Mkts,8,20.77,0.56,1.10,0.96
JPMorgan U.S. Applied Data Science Value Fund Class C (JIVCX),Large Value,6,20.51,0.56,1.02,0.98
Wells Fargo Spectrum Moderate Growth Fund Class C (WGBFX),Allocation--50% to 70% Equity,5,9.73,1.19,,
Aberdeen Global Infrastructure Fund Class A (AIAFX),Infrastructure,7,18.73,0.62,0.98,0.84
AQR Diversified Arbitrage Fund Class N (ADANX),Relative Value Arbitrage,4,9.11,1.27,-12.52,0.21
PGIM Global Real Estate Fund- Class R2 (PUREX),Global Real Estate,7,17.84,0.65,0.87,0.97
USAA Target Retirement 2040 Fund (URFRX),Target-Date 2040,6,14.03,0.82,0.91,0.99
American Funds 2025 Target Date Retirement Fund® Class A (AADTX),Target-Date 2025,5,9.62,1.20,0.81,0.98
BlackRock Global Dividend Portfolio Investor A Shares (BABDX),World Large-Stock Value,6,15.73,0.73,0.86,0.93
Loomis Sayles Small Capital Value Fund Retail Class (LSCRX),Small Blend,7,24.38,0.47,0.91,0.96
Nationwide American Century Small Cap Income Fund Class A (NWUAX),Small Value,7,28.72,0.40,1.07,0.97
Victory INCORE Investment Grade Convertible Fund Class A (SBFCX),Convertibles,5,11.45,1.01,,
Harbor International Fund Institutional Class (HAINX),Foreign Large Blend,6,17.64,0.65,1.02,0.96
Rydex Real Estate Fund Class H (RYHRX),Real Estate,8,21.89,0.53,1.02,0.74
American Century Value Fund Investor Class (TWVLX),Large Value,6,22.20,0.52,1.09,0.97
JPMorgan SmartRetirement® Blend 2030 Fund Class I (JRBEX),Target-Date 2030,6,12.32,0.93,0.98,0.99
Rydex Real Estate Fund Class A (RYREX),Real Estate,8,21.88,0.53,1.02,0.74
Rydex S&P MidCap 400 Pure Value Fund Class A (RYMVX),Small Value,7,33.87,0.34,,
Rydex S&P MidCap 400 Pure Value Fund Class H (RYAVX),Small Value,7,33.88,0.34,,
American Funds 2025 Target Date Retirement Fund® Class F-1 (FAPTX),Target-Date 2025,5,9.62,1.19,0.81,0.98
Artisan Global Value Fund Advisor Class (APDGX),World Large-Stock Value,6,21.98,0.52,1.20,0.92
Harbor Diversified International All Cap Fund Institutional Class (HAIDX),Foreign Large Blend,6,18.73,0.61,1.09,0.97
PIMCO RAE PLUS Fund Class A (PIXAX),Large Value,6,23.00,0.50,1.11,0.94
ProFunds Mid Cap Value Fund Investor Class (MLPIX),Mid-Cap Value,6,26.21,0.44,1.00,1.00
Vanguard Developed Markets Index Fund Admiral Shares (VTMGX),Foreign Large Blend,6,17.81,0.65,1.03,0.99
Ladenburg Growth & Income Fund Class I (LOWIX),Allocation--50% to 70% Equity,5,11.89,0.97,0.64,0.97
Matisse Discounted Closed-End Fund Strategy Institutional Class Shares (MDCEX),Tactical Allocation,6,24.09,0.48,1.12,0.73
PGIM Jennison Global Equity Income Fund- Class Z (JDEZX),World Large-Stock Blend,6,17.56,0.65,0.97,0.94
ClearBridge Small Cap Fund Class I (LMNSX),Small Blend,7,27.89,0.41,1.11,0.96
First Eagle U.S. Value Fund Class A (FEVAX),Allocation--70% to 85% Equity,5,16.67,0.69,0.86,0.91
Invesco International Growth Fund Class C (AIECX),Foreign Large Growth,7,16.40,0.70,0.95,0.95
MainStay CBRE Global Infrastructure Fund Class A (VCRAX),Infrastructure,7,15.06,0.76,0.73,0.73
Manning & Napier Disciplined Value Series Class I (MNDFX),Large Value,6,19.04,0.60,0.94,0.97
Delaware Ivy Small Cap Core Fund Class A (IYSAX),Small Blend,7,22.80,0.50,0.88,0.90
John Hancock Funds Disciplined Value Fund Class I (JVLIX),Large Value,6,21.52,0.53,1.07,0.98
Sterling Capital Mid Value Fund Class C (OVECX),Mid-Cap Value,6,26.20,0.44,1.12,0.96
AMG River Road Small-Mid Cap Value Fund Class N (ARSMX),Small Blend,7,23.40,0.49,0.91,0.97
Bernzott US Small Cap Value Fund (BSCVX),Small Growth,7,24.86,0.46,0.88,0.87
Harding Loevner Emerging Markets Portfolio Advisor Class (HLEMX),Diversified Emerging Mkts,8,20.84,0.55,1.10,0.96
Invesco Growth and Income Fund Class C (ACGKX),Large Value,6,23.37,0.49,1.16,0.98
Madison Covered Call & Equity Income Fund Class A (MENAX),Derivative Income,6,15.61,0.73,0.75,0.78
MFS Utilities Fund Class A (MMUFX),Utilities,5,15.89,0.72,0.64,0.55
John Hancock Funds II Multimanager Lifestyle Balanced Portfolio Class C (JCLBX),Allocation--50% to 70% Equity,5,12.49,0.92,0.65,0.93
SGI Global Equity Fund Class I (SGLIX),World Large-Stock Blend,6,15.00,0.76,0.81,0.89
Walthausen Small Cap Value Fund Institutional (WFICX),Small Value,7,26.10,0.44,0.97,0.96
"Cohen & Steers Global Realty Shares, Inc. Class C (CSFCX)",Global Real Estate,7,18.06,0.63,0.89,0.98
JPMorgan Global Allocation Fund Class I (GAOSX),World Allocation,5,12.37,0.93,0.68,0.94
JPMorgan Investor Balanced Fund Class I (OIBFX),Allocation--50% to 70% Equity,5,10.31,1.11,0.02,0.00
Manning & Napier Pro-Blend Moderate Term Series Class I (MNMIX),Allocation--30% to 50% Equity,4,7.81,1.46,0.69,0.09
Polen International Growth Fund Institutional Class (POIIX),Foreign Large Growth,7,14.29,0.80,0.72,0.74
Victory Integrity Discovery Fund Class A (MMEAX),Small Blend,7,30.07,0.38,,
Virtus NFJ Mid-Cap Value Fund Class A (PQNAX),Mid-Cap Value,6,21.33,0.54,0.90,0.94
Guggenheim Large Cap Value Fund Class Institutional (GILCX),Large Value,6,21.29,0.54,1.05,0.98
Invesco Select Risk: Growth Investor Fund Class C (AADCX),Allocation--70% to 85% Equity,5,15.20,0.75,0.85,0.98
JPMorgan SmartRetirement® 2030 Fund Class A (JSMAX),Target-Date 2030,6,12.48,0.92,1.00,0.99
Nuveen Santa Barbara Global Dividend Growth Fund Class A (NUGAX),World Large-Stock Blend,6,16.57,0.69,0.91,0.97
Touchstone Small Cap Value Fund Class C (TVOCX),Small Value,7,24.78,0.46,0.92,0.96
USAA Income Stock Fund (USISX),Large Value,6,17.67,0.65,0.87,0.97
Wells Fargo Growth Balanced Fund - Class C (WFGWX),Allocation--50% to 70% Equity,5,12.69,0.90,0.21,0.00
Fidelity® Equity Dividend Income Fund (FEQTX),Large Value,6,19.90,0.57,0.97,0.97
PGIM Global Real Estate Fund- Class A (PURAX),Global Real Estate,7,17.83,0.64,0.87,0.97
Principal Diversified International Fund Class C (PDNCX),Foreign Large Blend,6,16.93,0.67,0.98,0.96
USAA Cornerstone Aggressive Fund (UCAGX),Allocation--70% to 85% Equity,5,14.40,0.79,0.81,0.99
Wells Fargo Utility and Telecommunications Fund - Class Inst (EVUYX),Utilities,5,14.47,0.79,0.85,0.91
Fidelity Freedom® 2020 Fund (FFFDX),Target-Date 2020,5,10.04,1.14,0.29,0.01
Fidelity ZEROSM International Index Fund (FZILX),Foreign Large Blend,6,16.99,0.67,1.00,0.99
Hennessy Japan Fund Investor Class (HJPNX),Japan Stock,6,14.23,0.80,0.87,0.77
T. Rowe Price Global Real Estate Fund (TRGRX),Global Real Estate,7,18.19,0.63,0.89,0.98
AB Relative Value Fund Class C (CBBCX),Large Value,6,20.12,0.57,0.99,0.98
Delaware Mid Cap Value Fund Class C (DLMCX),Mid-Cap Value,6,24.59,0.46,1.06,0.98
Rydex Banking Fund Class A (RYBKX),Financial,7,30.82,0.37,1.33,0.63
Rydex Banking Fund Class H (RYKAX),Financial,7,30.82,0.37,1.33,0.63
Vanguard Total International Stock Index Fund Admiral Shares (VTIAX),Foreign Large Blend,6,17.35,0.66,1.01,0.99
Zacks Dividend Fund Institutional Class Shares (ZDIIX),Large Value,6,17.35,0.66,0.86,0.98
Lazard Emerging Markets Equity Advantage Portfolio Open Shares (LEAOX),Diversified Emerging Mkts,8,18.55,0.61,0.98,0.97
Pioneer International Equity Fund Class A (PIIFX),Foreign Large Blend,6,16.31,0.70,0.93,0.94
ProFunds Large Cap Value Fund Investor Class (LVPIX),Large Value,6,19.49,0.58,1.00,1.00
Invesco American Value Fund Class A (MSAVX),Mid-Cap Value,6,25.15,0.45,1.08,0.98
Pacific Funds Small/Mid-Cap Class C (PFPCX),Small Blend,7,24.12,0.47,1.01,0.98
Pioneer Equity Income Fund Class Y (PYEQX),Large Value,6,18.90,0.60,0.94,0.98
TIAA-CREF International Equity Fund Retail Class (TIERX),Foreign Large Blend,6,19.19,0.59,1.09,0.93
Wells Fargo Target 2035 Fund - Class Admin (WFQWX),Target-Date 2035,6,13.23,0.86,0.93,0.99
Goldman Sachs Growth and Income Strategy Portfolio Class A (GOIAX),Tactical Allocation,6,11.95,0.95,0.67,0.97
John Hancock Funds II International Small Company Fund Class I (JSCIX),Foreign Small/Mid Blend,7,20.91,0.54,1.04,0.99
Vanguard Global Wellington Fund Investor Shares (VGWLX),World Allocation,5,12.03,0.94,,
American Beacon Mid-Cap Value Fund C Class (AMCCX),Mid-Cap Value,6,28.99,0.39,1.25,0.99
Astor Sector Allocation Fund Class C (CSPGX),Tactical Allocation,6,16.03,0.71,0.82,0.90
Artisan Global Value Fund Investor Class (ARTGX),World Large-Stock Value,6,22.01,0.52,1.20,0.92
Templeton Emerging Markets Small Cap Fund Class C (TCEMX),Diversified Emerging Mkts,8,21.86,0.52,0.93,0.90
AB Equity Income Fund Class C (AUICX),Large Value,6,18.24,0.62,0.97,0.95
BlackRock LifePath® Dynamic 2030 Fund Investor C Shares (LPCNX),Target-Date 2030,6,13.29,0.85,0.68,0.95
Catalyst Dynamic Alpha Fund Class A (CPEAX),Large Growth,6,18.72,0.61,0.93,0.84
PGIM Jennison Value Fund- Class C (PEICX),Large Value,6,19.85,0.57,0.99,0.99
Fidelity Freedom® Blend 2020 Fund (FHAVX),Target-Date 2020,5,9.77,1.16,0.32,0.01
PIMCO StocksPLUS® International Fund (U.S. Dollar-Hedged) I-3 (PISNX),Foreign Large Blend,6,17.88,0.63,,
Principal International Emerging Markets Fund Institutional Class (PIEIX),Diversified Emerging Mkts,8,18.72,0.60,0.99,0.97
Victory RS Investors Fund Class A (RSINX),Mid-Cap Blend,6,21.46,0.53,1.03,0.95
Pioneer Mid Cap Value Fund Class C (PCCGX),Mid-Cap Value,6,21.42,0.53,0.91,0.97
AB Discovery Value Fund Class C (ABCSX),Small Value,7,26.46,0.43,1.04,0.98
Columbia Capital Allocation Moderate Aggressive Portfolio Class C (NBICX),Allocation--50% to 70% Equity,5,13.67,0.83,0.70,0.98
DWS ESG International Core Equity Fund - Class Institutional (DURIX),Foreign Large Blend,6,17.62,0.64,1.01,0.94
Franklin Multi-Asset Moderate Growth Fund I (LLAIX),Allocation--70% to 85% Equity,5,14.06,0.80,-0.09,0.00
Janus Henderson Asia Equity Fund Class I (JAQIX),Pacific/Asia ex-Japan Stk,8,18.36,0.62,1.02,0.95
Columbia Dividend Opportunity Fund Class A (INUTX),Large Value,6,17.32,0.65,1.02,0.96
"Federated Hermes Equity Income Fund, Inc. Institutional Shares (LEISX)",Large Value,6,19.86,0.57,0.98,0.98
Franklin Biotechnology Discovery Fund Class A (FBDIX),Health,7,23.49,0.48,0.81,0.40
Invesco Emerging Markets Innovators Fund Class C (EMVCX),Diversified Emerging Mkts,8,22.82,0.49,1.11,0.82
MFS Lifetime 2030 Fund Class C (MLTCX),Target-Date 2030,6,12.00,0.94,0.63,0.94
American Funds American Balanced Fund® Class C (BALCX),Allocation--50% to 70% Equity,5,10.68,1.06,,
BlackRock Large Cap Focus Value Fund Institutional Shares (MABAX),Large Value,6,21.37,0.53,1.05,0.97
MainStay Moderate Allocation Fund Class I (MMRIX),Allocation--50% to 70% Equity,5,12.07,0.94,0.64,0.96
Columbia Global Value Fund Class A (IEVAX),World Large-Stock Value,6,20.09,0.56,0.99,0.97
Fidelity® Total International Index Fund (FTIHX),Foreign Large Blend,6,17.23,0.65,0.99,0.99
T. Rowe Price Overseas Stock Fund (TROSX),Foreign Large Blend,6,18.40,0.61,1.06,0.97
Vanguard FTSE All-World ex-US Index Fund Admiral Shares (VFWAX),Foreign Large Blend,6,17.04,0.66,1.01,0.99
DWS Global Small Cap Fund - Class C (KGDCX),World Small/Mid Stock,7,22.46,0.50,0.99,0.97
Touchstone Global ESG Equity Fund - Class C (TEQCX),World Large-Stock Blend,6,18.27,0.62,1.02,0.96
Wells Fargo Target 2035 Fund - Class A (WFQBX),Target-Date 2035,6,13.19,0.85,0.92,0.99
BNY Mellon Small Cap Value Fund Class A (RUDAX),Small Blend,7,25.92,0.43,0.97,0.97
Delaware Small Cap Value Fund Class C (DEVCX),Small Value,7,26.95,0.42,1.01,0.97
Federated Hermes MDT Large Cap Value Fund Class C (QCLVX),Large Value,6,20.31,0.55,1.00,0.97
John Hancock Funds II Multimanager 2020 Lifetime Portfolio Class I (JHRVX),Target-Date 2020,5,10.77,1.04,1.19,0.99
Blue Chip Investor Fund (BCIFX),Large Value,6,23.71,0.47,1.18,0.85
BMO Small-Cap Value Fund Class I (MRSNX),Small Value,7,26.25,0.43,0.98,0.97
Northern Multi-Manager Global Real Estate Fund (NMMGX),Global Real Estate,7,17.49,0.64,0.86,0.98
PGIM Jennison Global Infrastructure Fund- Class C (PGJCX),Infrastructure,7,16.08,0.70,0.76,0.76
UBS Global Allocation Fund Class P (BPGLX),World Allocation,5,12.25,0.92,0.68,0.97
Voya Global Multi-Asset Fund Class I (VYGLX),World Allocation,5,14.46,0.78,1.33,0.98
ClearBridge Small Cap Fund Class A (LMSAX),Small Blend,7,27.89,0.40,1.11,0.96
PIMCO Commodity Real Return Strategy Fund Class I-3 (PCRNX),Commodities Broad Basket,9,18.60,0.60,1.19,0.96
Praxis International Index Fund Class I (MPLIX),Foreign Large Blend,6,16.66,0.67,0.98,0.99
RNC Genter Dividend Income Fund (GDIIX),Large Value,6,19.05,0.59,,
Crossmark Steward Covered Call Income Fund Class C (SCJCX),Derivative Income,6,14.34,0.78,0.77,0.98
First Eagle Fund of America Class C (FEAMX),Large Blend,6,21.10,0.53,1.06,0.86
Lazard International Strategic Equity Portfolio Institutional Shares (LISIX),Foreign Large Blend,6,18.13,0.62,1.05,0.97
Manning & Napier Disciplined Value Series Class S (MDFSX),Large Value,6,19.08,0.59,0.94,0.97
Undiscovered Managers Behavioral Value Fund Class C (UBVCX),Small Value,7,31.32,0.36,1.17,0.97
Voya SmallCap Opportunities Fund Class C (NSPCX),Small Growth,7,24.44,0.46,0.99,0.97
Federated Hermes International Leaders Fund Class C Shares (FGFCX),Foreign Large Blend,6,18.61,0.60,1.07,0.96
PGIM Jennison Global Equity Income Fund- Class A (SPQAX),World Large-Stock Blend,6,17.55,0.64,0.97,0.94
Reinhart Genesis PMV Fund Advisor Class (RPMFX),Small Blend,7,23.76,0.47,0.97,0.93
Victory Integrity Small-Cap Value Fund Class A (VSCVX),Small Value,7,30.23,0.37,1.13,0.98
Walthausen Small Cap Value Fund (WSCVX),Small Value,7,26.12,0.43,0.97,0.96
Wells Fargo Low Volatility U.S. Equity Fund Institutional Class (WLVOX),Large Blend,6,16.03,0.70,0.78,0.86
American Century Value Fund A Class (TWADX),Large Value,6,22.12,0.51,1.09,0.97
John Hancock Funds Disciplined Value Fund Class A (JVLAX),Large Value,6,21.50,0.52,1.07,0.98
MainStay Epoch U.S. Equity Yield Fund Class I (EPLCX),Large Value,6,17.18,0.65,0.85,0.97
DWS RREEF Global Infrastructure Fund - Class Inst (TOLIX),Infrastructure,7,14.73,0.76,0.71,0.74
Invesco International Select Equity Fund Class A (IZIAX),Foreign Large Growth,7,20.12,0.56,1.06,0.79
Invesco Select Risk: Moderate Investor Fund Class A (OAMIX),Allocation--50% to 70% Equity,5,13.00,0.86,0.72,0.96
Manning & Napier Pro-Blend Moderate Term Series Class S (EXBAX),Allocation--30% to 50% Equity,4,7.78,1.44,0.69,0.09
Transamerica Global Equity Class I (TMUIX),World Large-Stock Blend,6,17.70,0.63,0.99,0.97
Wells Fargo Utility and Telecommunications Fund - Class Admin (EVUDX),Utilities,5,14.47,0.77,0.85,0.91
BMO Balanced Allocation Fund Class Y (BGRYX),Allocation--50% to 70% Equity,5,11.96,0.93,0.64,0.96
Clough China Fund Class Investor (CHNAX),China Region,8,20.64,0.54,,
Delaware Global Listed Real Assets Fund C Class (DPRCX),World Allocation,5,16.42,0.68,,
Guggenheim World Equity Income Fund Class C (SFGCX),World Large-Stock Value,6,17.08,0.65,0.92,0.94
BlackRock LifePath® Dynamic 2025 Fund Institutional Shares (LPBIX),Target-Date 2025,5,11.31,0.99,0.58,0.94
